Município1,Código Município IBGE,UF1,Dia,Data,Média de Índice De Isolamento(%)
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,4/9/2020,49
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,4/8/2020,51
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,4/7/2020,51
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,4/6/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,4/5/2020,60
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,4/4/2020,58
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,4/3/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,4/2/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,4/1/2020,56
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,3/31/2020,56
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,3/30/2020,56
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,3/29/2020,60
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,3/28/2020,57
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,3/27/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,3/26/2020,54
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,3/25/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,3/24/2020,55
SÃO JOSÉ DOS CAMPOS,3549904,SP,segunda-feira,3/23/2020,52
SÃO JOSÉ DOS CAMPOS,3549904,SP,domingo,3/22/2020,57
SÃO JOSÉ DOS CAMPOS,3549904,SP,sábado,3/21/2020,58
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,3/20/2020,47
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,3/19/2020,50
SÃO JOSÉ DOS CAMPOS,3549904,SP,quarta-feira,3/18/2020,41
SÃO JOSÉ DOS CAMPOS,3549904,SP,terça-feira,3/17/2020,40
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,3/13/2020,34
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,3/12/2020,31
SÃO JOSÉ DOS CAMPOS,3549904,SP,sexta-feira,3/6/2020,33
SÃO JOSÉ DOS CAMPOS,3549904,SP,quinta-feira,3/5/2020,34
